store_id,revenue(vnd),n_product(unit),mean_recency(day),group_rev,group_nprod,group_rec,group
9,968763000,14,1810,H,F,O,HFO
48,64460000,3,601,L,F,N,LFN
71,448008500,60,1011,L,M,O,LMO
72,10899000,1,1441,L,F,O,LFO
85,13525000,3,2150,L,F,O,LFO
93,438128000,28,766,L,F,N,LFN
98,194032000,6,1694,L,F,O,LFO
103,37350000,1,2137,L,F,O,LFO
112,10445000,5,1430,L,F,O,LFO
135,3636000,6,756,L,F,N,LFN
185,25392000,1,2200,L,F,O,LFO
194,1649000,2,439,L,F,N,LFN
264,13618000,1,1013,L,F,O,LFO
265,36815000,1,1052,L,F,O,LFO
276,8175000,2,1144,L,F,O,LFO
299,40755600,8,918,L,F,N,LFN
339,0,1,1454,L,F,O,LFO
351,634923250,5,1571,H,F,O,HFO
372,125426000,3,1462,L,F,O,LFO
379,1071288000,10,1615,H,F,O,HFO
395,2184000,2,824,L,F,N,LFN
403,2030611000,11,1373,H,F,O,HFO
418,154800000,1,1247,L,F,O,LFO
427,79503500,11,891,L,F,N,LFN
428,0,1,1487,L,F,O,LFO
437,22400000,1,2170,L,F,O,LFO
468,0,1,431,L,F,N,LFN
502,8322000,1,804,L,F,N,LFN
551,425941000,9,813,L,F,N,LFN
557,4283460,1,666,L,F,N,LFN
572,0,1,141,L,F,N,LFN
578,20000000,2,1756,L,F,O,LFO
618,5370000,3,329,L,F,N,LFN
619,99898000,1,998,L,F,N,LFN
623,13733500,11,343,L,F,N,LFN
659,1772689000,41,876,H,F,N,HFN
669,5047100,2,1500,L,F,O,LFO
674,835000,3,1016,L,F,O,LFO
719,117000,1,552,L,F,N,LFN
725,0,1,143,L,F,N,LFN
728,164320000,3,1156,L,F,O,LFO
746,898845000,10,415,H,F,N,HFN
752,31835000,17,1044,L,F,O,LFO
771,10715000,3,1514,L,F,O,LFO
803,847000,1,545,L,F,N,LFN
821,1009340000,18,82799,H,F,O,HFO
835,276319000,11,68199,L,F,O,LFO
861,5750000,1,947,L,F,N,LFN
874,197559000,19,1323,L,F,O,LFO
878,10290000,1,1428,L,F,O,LFO
883,13100000,4,1421,L,F,O,LFO
894,12005000,2,1040,L,F,O,LFO
900,394830000,6,1486,L,F,O,LFO
921,24360000,1,1007,L,F,O,LFO
933,101152500,50,363,L,F,N,LFN
936,210000,1,273,L,F,N,LFN
937,52218000,11,933,L,F,N,LFN
956,95675100,5,1307,L,F,O,LFO
987,159621000,7,916,L,F,N,LFN
1014,0,2,726,L,F,N,LFN
1039,3700000,1,1191,L,F,O,LFO
1058,192096500,14,1283,L,F,O,LFO
1066,14592000,1,870,L,F,N,LFN
1067,794624000,6,1368,H,F,O,HFO
1089,1198440000,9,1303,H,F,O,HFO
1090,1014000,1,1864,L,F,O,LFO
1159,192020000,8,875,L,F,N,LFN
1185,390000,1,129,L,F,N,LFN
1195,11000000,1,2015,L,F,O,LFO
1199,1500108000,18,604,H,F,N,HFN
1218,1634600,3,1645,L,F,O,LFO
1259,980000,3,594,L,F,N,LFN
1260,4080000,1,244,L,F,N,LFN
1279,5676000,2,1230,L,F,O,LFO
1286,161549000,3,1478,L,F,O,LFO
1287,18700000,6,489,L,F,N,LFN
1303,20064000,2,1327,L,F,O,LFO
1318,14580000,1,1457,L,F,O,LFO
1320,93470000,1,1403,L,F,O,LFO
1362,10260000,2,514,L,F,N,LFN
1399,12792000,1,611,L,F,N,LFN
1407,27435000,1,830,L,F,N,LFN
1462,486558500,19,473,L,F,N,LFN
1489,361150000,18,365,L,F,N,LFN
1516,20298000,4,930,L,F,N,LFN
1528,144625000,10,1531,L,F,O,LFO
1530,44640000,2,1004,L,F,O,LFO
1568,658000,1,1973,L,F,O,LFO
1597,1363000,2,212,L,F,N,LFN
1607,316540,1,136,L,F,N,LFN
1656,190960000,1,1339,L,F,O,LFO
1657,48690000,3,1696,L,F,O,LFO
1659,10740000,4,742,L,F,N,LFN
1684,3763000,1,1653,L,F,O,LFO
1699,3078000,1,1577,L,F,O,LFO
1722,13271208000,10,1300,H,F,O,HFO
1723,12636500,15,944,L,F,N,LFN
1729,530000,1,80,L,F,N,LFN
1743,189885900,3,711,L,F,N,LFN
1753,129972000,7,682,L,F,N,LFN
1756,366921000,31,646,L,F,N,LFN
1764,133072000,7,1306,L,F,O,LFO
1785,10420000,3,620,L,F,N,LFN
1786,0,1,352,L,F,N,LFN
1804,64869230,2,1098,L,F,O,LFO
1822,278720000,15,1318,L,F,O,LFO
1826,10824000,8,1402,L,F,O,LFO
1851,39839776,24,613,L,F,N,LFN
1883,95338000,4,1866,L,F,O,LFO
1895,229846000,7,106354,L,F,O,LFO
1928,0,1,1290,L,F,O,LFO
1941,283007560,35,21502,L,F,O,LFO
1948,125602000,5,1178,L,F,O,LFO
2010,104205000,2,1685,L,F,O,LFO
2073,5500000,2,607,L,F,N,LFN
2093,537000,1,841,L,F,N,LFN
2095,395000,2,1498,L,F,O,LFO
2128,9200000,40,101,L,F,N,LFN
2136,14049000,2,448,L,F,N,LFN
2165,150889000,3,502,L,F,N,LFN
2172,0,1,1537,L,F,O,LFO
2256,1349000,9,312,L,F,N,LFN
2286,22659000,1,996,L,F,N,LFN
2295,8477000,1,1408,L,F,O,LFO
2330,6750000,1,2152,L,F,O,LFO
2359,7245000,12,387,L,F,N,LFN
2380,2958000,4,994,L,F,N,LFN
2387,15045000,1,1785,L,F,O,LFO
2400,738970000,9,866,H,F,N,HFN
2421,6043500,1,1507,L,F,O,LFO
2460,125068200,4,1370,L,F,O,LFO
2466,63611000,4,988,L,F,N,LFN
2471,23170400,2,1296,L,F,O,LFO
2502,77525000,10,249,L,F,N,LFN
2540,45599000,2,1010,L,F,O,LFO
2591,0,1,472,L,F,N,LFN
2621,4640000,2,96,L,F,N,LFN
2626,11840000,3,822,L,F,N,LFN
2638,52567000,35,1407,L,F,O,LFO
2639,436164600,25,1655,L,F,O,LFO
2653,0,1,1876,L,F,O,LFO
2685,0,2,468,L,F,N,LFN
2708,214821000,15,1149,L,F,O,LFO
2766,5514000,3,456,L,F,N,LFN
2813,269100000,3,1550,L,F,O,LFO
2833,3250000,1,1548,L,F,O,LFO
2904,12537000,1,1289,L,F,O,LFO
2919,700000,1,1165,L,F,O,LFO
2944,15205000,14,1157,L,F,O,LFO
2951,15705000,1,1408,L,F,O,LFO
3007,546844000,11,911,H,F,N,HFN
3011,0,3,205,L,F,N,LFN
3053,164000,1,188,L,F,N,LFN
3055,1585288000,16,773,H,F,N,HFN
3066,1032000,1,1450,L,F,O,LFO
3067,0,1,569,L,F,N,LFN
3074,439396000,10,1358,L,F,O,LFO
3089,669755000,5,985,H,F,N,HFN
3120,28980000,15,933,L,F,N,LFN
3132,0,1,133,L,F,N,LFN
3148,30471000,5,904,L,F,N,LFN
3223,17955000,1,675,L,F,N,LFN
3258,1468800,2,320,L,F,N,LFN
3270,162206600,2,596,L,F,N,LFN
3346,1508000,12,172,L,F,N,LFN
3361,0,1,491,L,F,N,LFN
3446,5519000,2,1506,L,F,O,LFO
3522,36000000,1,1607,L,F,O,LFO
3573,0,1,275,L,F,N,LFN
3594,1156545,2,706,L,F,N,LFN
3608,207900,1,540,L,F,N,LFN
3689,0,1,1819,L,F,O,LFO
3705,2465000,1,1032,L,F,O,LFO
3764,99612850,7,990,L,F,N,LFN
3793,23736000,10,1055,L,F,O,LFO
3816,0,1,813,L,F,N,LFN
3855,3760000,2,364,L,F,N,LFN
3859,30240000,2,962,L,F,N,LFN
3882,48700000,2,1490,L,F,O,LFO
3946,4400000,2,1220,L,F,O,LFO
3955,675000,3,543,L,F,N,LFN
4022,490010,1,583,L,F,N,LFN
4027,0,1,811,L,F,N,LFN
4054,103765000,5,1555,L,F,O,LFO
4131,1995000,1,692,L,F,N,LFN
4137,1884000,2,842,L,F,N,LFN
4209,0,1,255,L,F,N,LFN
4210,6560000,6,1495,L,F,O,LFO
4270,0,2,82,L,F,N,LFN
4290,2160000,2,700,L,F,N,LFN
4295,3984000,4,528,L,F,N,LFN
4329,109214000,2,578,L,F,N,LFN
4338,28215000,1,962,L,F,N,LFN
4445,460000,1,720,L,F,N,LFN
4512,20406000,6,663,L,F,N,LFN
4699,1295000,3,441,L,F,N,LFN
4730,8428000,4,804,L,F,N,LFN
4751,15160000,12,1250,L,F,O,LFO
4841,44663000,1,1746,L,F,O,LFO
4857,7227000,1,1144,L,F,O,LFO
4890,72005000,11,234,L,F,N,LFN
4937,0,1,7,L,F,N,LFN
4946,5427000,5,1302,L,F,O,LFO
4992,12213000,2,1130,L,F,O,LFO
5030,19000,1,721,L,F,N,LFN
5091,105000,1,1120,L,F,O,LFO
5122,4430000,2,1305,L,F,O,LFO
